,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
966,TRBUSDT,DARUSDT,0.0,-6.22,-3.37,99.97,54
530,REQUSDT,AKROUSDT,0.0,-4.42,-3.37,29.29,52
1183,XMRUSDT,SWEATUSDT,0.0,-4.78,-3.37,14196.61,48
71,1000XECUSDT,CELUSDT,0.0,-4.35,-3.37,0.05,46
222,API3USDT,ACHUSDT,0.01,-3.89,-3.37,150.96,46
546,REQUSDT,SUNUSDT,0.0,-4.97,-3.37,17.51,46
1014,TRXUSDT,AGLDUSDT,0.0,-4.94,-3.37,0.2,46
445,IOTAUSDT,1000BTTUSDT,0.0,-4.74,-3.37,288.94,45
643,SCUSDT,CEEKUSDT,0.02,-3.74,-3.37,0.03,45
644,SCUSDT,CELUSDT,0.0,-4.86,-3.37,0.0,44
852,SUNUSDT,AKROUSDT,0.0,-5.37,-3.37,1.67,44
1005,TRBUSDT,REEFUSDT,0.01,-3.87,-3.37,5155.76,43
1079,UNIUSDT,FLMUSDT,0.0,-4.19,-3.37,70.46,43
54,10000NFTUSDT,XLMUSDT,0.0,-4.44,-3.37,0.05,43
677,SCUSDT,REEFUSDT,0.0,-6.27,-3.37,0.96,43
699,SFPUSDT,ETHWUSDT,0.0,-5.44,-3.37,0.12,42
682,SCUSDT,STXUSDT,0.0,-4.18,-3.37,0.01,42
470,LINAUSDT,CELUSDT,0.02,-3.74,-3.37,0.01,41
1075,UNIUSDT,DOGEUSDT,0.0,-4.71,-3.37,76.03,41
951,TRBUSDT,ARPAUSDT,0.0,-5.21,-3.37,463.32,41
973,TRBUSDT,ENSUSDT,0.0,-4.23,-3.37,1.09,41
737,SHIB1000USDT,CEEKUSDT,0.01,-3.84,-3.37,0.1,41
918,SXPUSDT,CEEKUSDT,0.02,-3.75,-3.37,2.66,41
471,LINKUSDT,1000BTTUSDT,0.0,-4.2,-3.37,9357.73,40
1008,TRBUSDT,RSS3USDT,0.01,-4.06,-3.37,121.28,40
193,ADAUSDT,MKRUSDT,0.0,-5.74,-3.37,0.0,40
1090,UNIUSDT,SKLUSDT,0.0,-4.33,-3.37,231.63,39
1071,UNIUSDT,CEEKUSDT,0.01,-3.79,-3.37,66.99,39
1221,ZILUSDT,RSS3USDT,0.01,-3.96,-3.37,0.21,39
114,ADAUSDT,API3USDT,0.0,-4.14,-3.37,0.25,38
949,TRBUSDT,API3USDT,0.0,-4.26,-3.37,10.82,38
106,ADAUSDT,ACHUSDT,0.0,-4.94,-3.37,38.24,38
1046,TWTUSDT,10000NFTUSDT,0.02,-3.72,-3.37,344.11,38
3,10000NFTUSDT,AKROUSDT,0.0,-5.52,-3.37,1.36,38
659,SCUSDT,GRTUSDT,0.03,-3.56,-3.37,0.03,38
551,RSS3USDT,ACHUSDT,0.0,-4.25,-3.37,13.47,37
549,RSS3USDT,1000LUNCUSDT,0.0,-4.83,-3.37,0.68,37
1195,ZENUSDT,GALUSDT,0.02,-3.73,-3.37,6.94,37
